kind	class	method	param	index	uri	field
METHOD	com.netflix.conductor.core.config.ConductorProperties	setStack(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	stack
METHOD	com.netflix.conductor.core.config.ConductorProperties	setAppId(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	appId
METHOD	com.netflix.conductor.core.config.ConductorProperties	setWorkflowOffsetTimeout(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	workflowOffsetTimeout
METHOD	com.netflix.conductor.core.config.ConductorProperties	setLockLeaseTime(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	lockLeaseTime
METHOD	com.netflix.conductor.core.config.ConductorProperties	setLockTimeToTry(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	lockTimeToTry
METHOD	com.netflix.conductor.core.config.ConductorProperties	setActiveWorkerLastPollTimeout(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	activeWorkerLastPollTimeout
METHOD	com.netflix.conductor.core.config.ConductorProperties	setTaskExecutionPostponeDuration(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	taskExecutionPostponeDuration
METHOD	com.netflix.conductor.core.config.ConductorProperties	setSystemTaskWorkerCallbackDuration(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	systemTaskWorkerCallbackDuration
METHOD	com.netflix.conductor.core.config.ConductorProperties	setSystemTaskWorkerPollInterval(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	systemTaskWorkerPollInterval
METHOD	com.netflix.conductor.core.config.ConductorProperties	setSystemTaskWorkerExecutionNamespace(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	systemTaskWorkerExecutionNamespace
METHOD	com.netflix.conductor.core.config.ConductorProperties	setAsyncUpdateShortRunningWorkflowDuration(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	asyncUpdateShortRunningWorkflowDuration
METHOD	com.netflix.conductor.core.config.ConductorProperties	setAsyncUpdateDelay(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	asyncUpdateDelay
METHOD	com.netflix.conductor.core.config.ConductorProperties	setEventQueuePollInterval(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	eventQueuePollInterval
METHOD	com.netflix.conductor.core.config.ConductorProperties	setEventQueueLongPollTimeout(java.time.Duration)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	eventQueueLongPollTimeout
METHOD	com.netflix.conductor.core.config.ConductorProperties	setWorkflowInputPayloadSizeThreshold(org.springframework.util.unit.DataSize)	null	null	/home/nima/Developer/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/config/ConductorProperties.java	workflowInputPayloadSizeThreshold
