kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	com.netflix.conductor.model.TaskModel	null	taskType	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java	FIELD_NO_INIT	nullable	com.netflix.conductor.model.TaskModel	null
FIELD	com.netflix.conductor.model.TaskModel	null	status	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java	FIELD_NO_INIT	nullable	com.netflix.conductor.model.TaskModel	null
METHOD	com.netflix.conductor.model.TaskModel	getReferenceTaskName()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java	RETURN_NULLABLE	nullable	com.netflix.conductor.model.TaskModel	getReferenceTaskName()
METHOD	com.netflix.conductor.model.TaskModel	getTaskId()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java	RETURN_NULLABLE	nullable	com.netflix.conductor.model.TaskModel	getTaskId()
METHOD	com.netflix.conductor.model.TaskModel	getWorkflowTask()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java	RETURN_NULLABLE	nullable	com.netflix.conductor.model.TaskModel	getWorkflowTask()
FIELD	com.netflix.conductor.model.WorkflowModel	null	workflowDefinition	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/WorkflowModel.java	FIELD_NO_INIT	nullable	com.netflix.conductor.model.WorkflowModel	null
METHOD	com.netflix.conductor.model.WorkflowModel	getCreateTime()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/model/WorkflowModel.java	RETURN_NULLABLE	nullable	com.netflix.conductor.model.WorkflowModel	getCreateTime()
FIELD	com.netflix.conductor.metrics.WorkflowMonitor	null	taskDefs	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/metrics/WorkflowMonitor.java	METHOD_NO_INIT	nullable	com.netflix.conductor.metrics.WorkflowMonitor	null
FIELD	com.netflix.conductor.metrics.WorkflowMonitor	null	workflowDefs	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/metrics/WorkflowMonitor.java	METHOD_NO_INIT	nullable	com.netflix.conductor.metrics.WorkflowMonitor	null
PARAMETER	com.netflix.conductor.core.execution.WorkflowExecutor	rerunWF(java.lang.String,java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String)	workflowId	0	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/WorkflowExecutor.java	PASS_NULLABLE	nullable	com.netflix.conductor.core.execution.WorkflowExecutor	rerunWF(java.lang.String,java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String)
FIELD	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null	workflowModel	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java	METHOD_NO_INIT	nullable	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null
FIELD	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null	workflowTask	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java	METHOD_NO_INIT	nullable	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null
FIELD	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null	taskInput	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java	METHOD_NO_INIT	nullable	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null
FIELD	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null	deciderService	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java	METHOD_NO_INIT	nullable	com.netflix.conductor.core.execution.mapper.TaskMapperContext$Builder	null
METHOD	com.netflix.conductor.core.execution.StartWorkflowInput	getTaskToDomain()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/core/execution/StartWorkflowInput.java	RETURN_NULLABLE	nullable	com.netflix.conductor.core.execution.StartWorkflowInput	getTaskToDomain()
METHOD	com.netflix.conductor.validations.ValidationContext	getMetadataDAO()	null	null	/private/tmp/projects/conductor/core/src/main/java/com/netflix/conductor/validations/ValidationContext.java	RETURN_NULLABLE	nullable	com.netflix.conductor.validations.ValidationContext	getMetadataDAO()
